ar_SA|アラビア語   サウジアラビア
zh_CN|中国語(簡体字)    中国
zh_TW|中国語(繁体字)    台湾
nl_NL|オランダ語   オランダ
en_AU|英語  オーストラリア
en_CA|英語  カナダ
en_GB|英語  英国
en_US|英語  米国
fr_CA|フランス語   カナダ
fr_FR|フランス語   フランス
de_DE|ドイツ語    ドイツ
iw_IL|ヘブライ語   イスラエル
hi_IN|ヒンズー語   インド
it_IT|イタリア語   イタリア
ja_JP|日本語 日本
ko_KR|韓国語 韓国
pt_BR|ポルトガル語  ブラジル
es_ES|スペイン語   スペイン
sv_SE|スウェーデン語 スウェーデン
th_TH|タイ語(アラビア数字) タイ
th_TH|タイ語(タイ数字)   タイ
sq_AL|アルバニア語  アルバニア
ar_DZ|アラビア語   アルジェリア
ar_BH|アラビア語   バーレーン
ar_EG|アラビア語   エジプト
ar_IQ|アラビア語   イラク
ar_JO|アラビア語   ヨルダン
ar_KW|アラビア語   クウェート
ar_LB|アラビア語   レバノン
ar_LY|アラビア語   リビア
ar_MA|アラビア語   モロッコ
ar_OM|アラビア語   オマーン
ar_QA|アラビア語   カタール
ar_SD|アラビア語   スーダン
ar_SY|アラビア語   シリア
ar_TN|アラビア語   チュニジア
ar_AE|アラビア語   アラブ首長国連邦
ar_YE|アラビア語   イエメン
bg_BG|ブルガリア語  ブルガリア
be_BY|ベラルーシ語  ベラルーシ
ca_ES|カタロニア語  スペイン
zh_HK|中国語 香港
hr_HR|クロアチア語  クロアチア
cs_CZ|チェコ語    チェコ共和国
da_DK|デンマーク語  デンマーク
nl_BE|オランダ語   ベルギー
en_IN|英語  インド
en_IE|英語  アイルランド
en_NZ|英語  ニュージーランド
en_ZA|英語  南アフリカ
et_EE|エストニア語  エストニア
fi_FI|フィンランド語 フィンランド
fr_BE|フランス語   ベルギー
fr_LU|フランス語   ルクセンブルグ
fr_CH|フランス語   スイス
de_AT|ドイツ語    オーストリア
de_LU|ドイツ語    ルクセンブルグ
de_CH|ドイツ語    スイス
el_GR|ギリシャ語   ギリシャ
hu_HU|ハンガリー語  ハンガリー
is_IS|アイスランド語 アイスランド
it_CH|イタリア語   スイス
lv_LV|ラトビア語   ラトビア
lt_LT|リトアニア語  リトアニア
mk_MK|マケドニア語  マケドニア
no_NO|ノルウェー語(ブークモール)  ノルウェー
no_NY|ノルウェー語(ニーノシュク)  ノルウェー
pl_PL|ポーランド語  ポーランド
pt_PT|ポルトガル語  ポルトガル
ro_RO|ルーマニア語  ルーマニア
ru_RU|ロシア語    ロシア
sr_YU|セルビア語(キリル文字)    ユーゴスラビア
sh_YU|セルビア・クロアチア語 ユーゴスラビア
sk_SK|スロバキア語  スロバキア
sl_SI|スロベニア語  スロベニア
es_AR|スペイン語   アルゼンチン
es_BO|スペイン語   ボリビア
es_CL|スペイン語   チリ
es_CO|スペイン語   コロンビア
es_CR|スペイン語   コスタリカ
es_DO|スペイン語   ドミニカ共和国
es_EC|スペイン語   エクアドル
es_SV|スペイン語   エルサルバドル
es_GT|スペイン語   グアテマラ
es_HN|スペイン語   ホンジュラス
es_MX|スペイン語   メキシコ
es_NI|スペイン語   ニカラグア
es_PA|スペイン語   パナマ
es_PY|スペイン語   パラグアイ
es_PE|スペイン語   ペルー
es_PR|スペイン語   プエルトリコ
es_UY|スペイン語   ウルグアイ
es_VE|スペイン語   ベネズエラ
tr_TR|トルコ語    トルコ
uk_UA|ウクライナ語  ウクライナ
